Conference,title,link
CCS 2023,Protecting Intellectual Property of Large Language Model-Based Code Generation APIs via Watermarks,https://dl.acm.org/doi/abs/10.1145/3576915.3623120
CCS 2023,Large Language Models for Code: Security Hardening and Adversarial Testing,https://dl.acm.org/doi/pdf/10.1145/3576915.3623175
CCS 2024,SUB-PLAY: Adversarial Policies against Partially Observed Multi-Agent Reinforcement Learning Systems.,https://arxiv.org/pdf/2402.03741
CCS 2024,AirGapAgent: Protecting Privacy-Conscious Conversational Agents.,https://arxiv.org/pdf/2405.05175
CCS 2024,PLeak: Prompt Leaking Attacks against Large Language Model Applications,https://dl.acm.org/doi/pdf/10.1145/3658644.3670370
CCS 2024,``Do Anything Now'': Characterizing and Evaluating In-The-Wild Jailbreak Prompts on Large Language Models,https://arxiv.org/pdf/2308.03825
CCS 2024,A Causal Explainable Guardrails for Large Language Models,https://arxiv.org/pdf/2405.04160
CCS 2024,SurrogatePrompt: Bypassing the Safety Filter of Text-to-Image Models via Substitution.,https://arxiv.org/pdf/2309.14122
CCS 2024,Membership Inference Attacks Against In-Context Learning,https://arxiv.org/pdf/2409.01380
CCS 2024,Unveiling the Vulnerability of Private Fine-Tuning in Split-Based Frameworks for Large Language Models: A Bidirectionally Enhanced Attack,https://arxiv.org/pdf/2409.00960
CCS 2024,Optimization-based Prompt Injection Attack to LLM-as-a-Judge.,https://arxiv.org/pdf/2403.17710
CCS 2024,Demystifying RCE Vulnerabilities in LLM-Integrated Apps.,https://dl.acm.org/doi/pdf/10.1145/3658644.3690338
CCS 2024,PromSec: Prompt Optimization for Secure Generation of Functional Source Code with Large Language Models (LLMs),https://dl.acm.org/doi/pdf/10.1145/3658644.3690298
CCS 2024,Legilimens: Practical and Unified Content Moderation for Large Language Model Services,https://arxiv.org/pdf/2408.15488
CCS 2024,The Janus Interface: How Fine-Tuning in Large Language Models Amplifies the Privacy Risks,https://dl.acm.org/doi/pdf/10.1145/3658644.3690325
CCS 2025 (R1),RAG-WM: An Efficient Black-Box Watermarking Approach for Retrieval-Augmented Generation of Large Language Models,https://arxiv.org/pdf/2501.05249
CCS 2025 (R1),Prompt Inference Attack on Distributed Large Language Model Inference Frameworks,https://arxiv.org/pdf/2503.09291
NDSS 2024,MASTERKEY: Automated Jailbreaking of Large Language Model Chatbots,https://arxiv.org/pdf/2307.08715
NDSS 2024,Improving the Robustness of Transformer-based Large Language Models with Dynamic Attention.,https://arxiv.org/pdf/2311.17400
NDSS 2025,The Philosopher’s Stone: Trojaning Plugins of Large Language Models,https://arxiv.org/pdf/2312.00374
NDSS 2025,TrajDeleter: Enabling Trajectory Forgetting in Offline Reinforcement Learning Agents,https://arxiv.org/pdf/2404.12530
NDSS 2025,I know what you MEME! Understanding and Detecting Harmful Memes with Multimodal Large Language Models,https://www.ndss-symposium.org/wp-content/uploads/2025-415-paper.pdf
NDSS 2025,Safety Misalignment Against Large Language Models,https://www.ndss-symposium.org/wp-content/uploads/2025-1089-paper.pdf
NDSS 2025,I Know What You Asked: Prompt Leakage via KV-Cache Sharing in Multi-Tenant LLM Serving,https://yinqian.org/papers/ndss25b.pdf
NDSS 2025,IsolateGPT: An Execution Isolation Architecture for LLM-Based Agentic Systems,https://arxiv.org/pdf/2403.04960
USENIX Sec 24,Don't Listen To Me: Understanding and Exploring Jailbreak Prompts of Large Language Models,https://www.usenix.org/system/files/usenixsecurity24-yu-zhiyuan.pdf
USENIX Sec 24,EaTVul: ChatGPT-based Evasion Attack Against Software Vulnerability Detection.,https://www.usenix.org/system/files/usenixsecurity24-liu-shigang.pdf
USENIX Sec 24,REMARK-LLM: A Robust and Efficient Watermarking Framework for Generative Large Language Models.,https://www.usenix.org/system/files/usenixsecurity24-zhang-ruisi.pdf
USENIX Sec 24,Did the Neurons Read your Book? Document-level Membership Inference for Large Language Models.,https://www.usenix.org/system/files/usenixsecurity24-meeus.pdf
USENIX Sec 24,LLM-Fuzzer: Scaling Assessment of Large Language Model Jailbreaks.,https://www.usenix.org/system/files/usenixsecurity24-yu-jiahao.pdf
USENIX Sec 24,An LLM-Assisted Easy-to-Trigger Backdoor Attack on Code Completion Models: Injecting Disguised Vulnerabilities against Strong Detection.,https://www.usenix.org/system/files/usenixsecurity24-yan.pdf
USENIX Sec 24,Instruction Backdoor Attacks Against Customized LLMs.,https://www.usenix.org/system/files/usenixsecurity24-zhang-rui.pdf
USENIX Sec 24,Formalizing and Benchmarking Prompt Injection Attacks and Defenses.,https://www.usenix.org/system/files/usenixsecurity24-liu-yupei.pdf
USENIX Sec 24,Quantifying Privacy Risks of Prompts in Visual Prompt Learning.,https://www.usenix.org/system/files/usenixsecurity24-wu-yixin.pdf
USENIX Sec 24,Prompt Stealing Attacks Against Text-to-Image Generation Models.,https://www.usenix.org/system/files/usenixsecurity24-shen-xinyue.pdf
USENIX Sec 24,Making Them Ask and Answer: Jailbreaking Large Language Models in Few Queries via Disguise and Reconstruction,https://www.usenix.org/system/files/usenixsecurity24-liu-tong.pdf
USENIX Sec 25 (R1),PAPILLON: Efficient and Stealthy Fuzz Testing-Powered Jailbreaks for LLMs,https://www.usenix.org/system/files/conference/usenixsecurity25/sec25cycle1-prepub-20-gong-xueluan.pdf
USENIX Sec 25 (R1),Evaluating LLM-based Personal Information Extraction and Countermeasures,https://www.usenix.org/conference/usenixsecurity25/presentation/liu-yupei
USENIX Sec 25 (R1),LLMmap: Fingerprinting for Large Language Models,https://www.usenix.org/conference/usenixsecurity25/presentation/pasquini
USENIX Sec 25 (R1),SelfDefend: LLMs Can Defend Themselves against Jailbreaking in a Practical Manner,https://www.usenix.org/conference/usenixsecurity25/presentation/wang-xunguang
USENIX Sec 25 (R1),We Have a Package for You! A Comprehensive Analysis of Package Hallucinations by Code Generating LLMs,https://www.usenix.org/conference/usenixsecurity25/presentation/spracklen
USENIX Sec 25 (R1),Whispering Under the Eaves: Protecting User Privacy Against Commercial and LLM-powered Automatic Speech Recognition Systems,https://www.usenix.org/system/files/conference/usenixsecurity25/sec25cycle1-prepub-743-jin-weifei.pdf
USENIX Sec 25 (R1),"Great, Now Write an Article About That: The Crescendo Multi-Turn LLM Jailbreak Attack",https://arxiv.org/pdf/2404.01833
USENIX Sec 25 (R1),When LLMs Go Online: The Emerging Threat of Web-Enabled LLMs,https://arxiv.org/pdf/2410.14569
USENIX Sec 25 (R1),HateBench: Benchmarking Hate Speech Detectors on LLM-Generated Content and Hate Campaigns,https://arxiv.org/pdf/2501.16750
USENIX Sec 25 (R1),PoisonedRAG: Knowledge Corruption Attacks to Retrieval-Augmented Generation of Large Language Models,https://arxiv.org/pdf/2402.07867
USENIX Sec 25 (R1),JBShield: Defending Large Language Models from Jailbreak Attacks through Activated Concept Analysis and Manipulation,https://arxiv.org/pdf/2502.07557
USENIX Sec 25 (R1),Generated Data with Fake Privacy: Hidden Dangers of Fine-tuning Large Language Models on Generated Data,https://arxiv.org/pdf/2409.11423
USENIX Sec 25 (R1),Towards Label-Only Membership Inference Attack against Pre-trained Large Language Models,https://www.usenix.org/system/files/conference/usenixsecurity25/sec25cycle1-prepub-1107-he.pdf
USENIX Sec 25 (R1),Mirage in the Eyes: Hallucination Attack on Multi-modal Large Language Models with Only Attention Sink,https://arxiv.org/pdf/2501.15269
Oakland 24,You Only Prompt Once: On the Capabilities of Prompt Learning on Large Language Models to Tackle Toxic Content.,https://arxiv.org/pdf/2308.05596
Oakland 24,On Large Language Models' Resilience to Coercive Interrogation.,https://www.cs.purdue.edu/homes/cheng535/static/papers/sp24_lint.pdf
Oakland 24,PromptCARE: Prompt Copyright Protection by Watermark Injection and Verification,https://arxiv.org/pdf/2308.02816
Oakland 24,SneakyPrompt: Jailbreaking Text-to-image Generative Models.,https://arxiv.org/pdf/2305.12082
Oakland 25,Supporting Human Raters with the Detection of Harmful Content using Large Language Models.,https://arxiv.org/pdf/2406.12800
Oakland 25,BAIT: Large Language Model Backdoor Scanning by Inverting Attack Target.,https://www.cs.purdue.edu/homes/an93/static/papers/SP25_Shen.pdf
Oakland 25,Comet: Accelerating Private Inference for Large Language Model by Predicting Activation Sparsity .,https://arxiv.org/pdf/2505.07239
Oakland 25,Prompt Inversion Attack against Collaborative Inference of Large Language Models.,https://arxiv.org/pdf/2503.09022
Oakland 25,Alleviating the Fear of Losing Alignment in LLM Fine-tuning.,https://arxiv.org/pdf/2504.09757
Oakland 25,Fun-tuning: Characterizing the Vulnerability of Proprietary LLMs to Optimization-based Prompt Injection Attacks via the Fine-Tuning Interface.,https://www.earlence.com/assets/papers/funtuning-labunets-sp25.pdf
