Conference,Type I,Type II,comments,Models,Setup time,Execution Time,Debug time,official,results,readme,Usability,result matching,experiment setup,Comments
CCS 2023,defense,model extraction,,CodeGen 350M,1-0.5 hr,4 hr,No more than 2 hrs,"Defense mode: 85.4%

Attack mode: 35.3%","SVEN(sec)=88.0, SVEN(vul)=35.8",8,"4,5","6,5",7,"1. For determinism, you can set the temperature as 0 to get a determined result, cause the temperature is set to 0.4, it is acceptable that real result is not as same as the official one. It uses codegen as the basic model, not sure if it is easy to adopt to other llm.

2. There was no requirement to configure the C programming environment, which led to all C code generation failures. This is also a major reason for the significant differences in the experimental results."
CCS 2024,attack,others,Maximizing the reduction of victim’s performance on a specific MARL task.,,1.5,2.5 hr,0.5h,0.196,0.347,"4,5",2,"3,5","4,5",
CCS 2024,attack,adversarial prompt attacks,,Lamma,0,< 2hr,0,,,3,3,1,3,"Time out, stuck more than 12 hrs"
CCS 2024,attack,jailbreak,,GPT-4,1 hr,1 hr,2 hr,0.685,0.105,8,8,3,8,could not adjust dolly well in 2 hours. Eventually use gpt-4 to test.
CCS 2024,attack,others,Data reconstruction when using SL to fine-tune LLMs,,2,,,,,8,3,1,1,The environment conflict in requirements.txt.
CCS 2024,attack,prompt injection,,Open-source llm,1.5 hr,0,<2 hr,,,6,3,1,6,FileNotFoundError: [Errno 2] No such file or directory: ‘../../dataset/data_for_train/basic//_train_llmbar.csv'
CCS 2024,attack,others,Identifying RCEs in LLM frameworks such as langchain,Gpt-3.5-turbo,1 hr,1.5 hr,1 hr,51,44,6,6,6,10,"To run the code in macOS, need to replace all os.popen(f""pycg {init_suspect_file}"").read()

 by os.popen(f""python -m pycg {init_suspect_file}”).read() in the code.  Need install openai==0.28.1

# of call chains  found by LLMSmith is shown below

6/11 framework results are consistent with the results in the paper"
CCS 2024,defense,hallucination,,GPT 3.5 turbo & GPT4o,10 mins,1.5 hr,0.5 hr,"216 -> 7 

(96.76% resolved)","216 -> 13 

(93.98% resolved)",6,10,10,10,"To run the code, need to change 

security_loss_before = calculate_vcs(*ci*)

        security_loss_after = calculate_vcs(*ci_hat*)

 To 

security_loss_before = calculate_vcs(*ci*)[0]

        security_loss_after = calculate_vcs(*ci_hat*)[0]"
CCS 2024,defense,jailbreak,,Llama2; ChatGLM3; Falcon; Dolly; Vicuna,/,/,/,/,/,6,3,1,1,"Non functional, sepend more that 2 hrs to set up"
CCS 2024,attack,memorization,,GPT-2,/,/,/,/,/,3,1,1,3,"1. It lacks a working pipeline, minimal documentation, and stable environment configuration.

2. Torch version conflict (README restricts to <2.0, but code requires >=2.1); source code relies on unregistered module paths (pii_leakage) without documentation"
CCS 2025 (R1),defense,model extraction,,,/,/,/,/,/,1,1,1,1,The code incomplete
NDSS 2024,attack,jailbreak,,"GPT4o,GPT-3.5, GPT-4, Bard, Bing",0,0,1,/,/,8,6,1,3,"1. I installed openai==1.34 as instructed, but it showed API incompatibility. Then I downgraded to openai==0.28, and it was still incompatible…

2. Fail to run the experiment. Cause there is no script to conduct the experiment, and the evaluation part is done manually, which we not able to conduct."
NDSS 2024,defense,adversarial prompt attacks,,"BERT-large-cased, GPT-2, T5-based",1,0,1,/,/,3,3,1,3,"Can not download the dataset.The Google Drive link is no longer working.

Use the command in the readme.md, but find the error „ValueError: Some specified arguments are not used by the HfArgumentParser: ['--task_name', ‚sa‘]“

We don’t know how to solve it."
NDSS 2025,attack,backdoor,,"Llama models(7B, 13B, 33B)",0.5,,,,,6,3,1,3,"Use the command in the readme.md, but find the error „ValueError: Some specified arguments are not used by the HfArgumentParser: ['--task_name', ‚sa‘]“

We don’t know how to solve it."
NDSS 2025,defense,memorization,,,,,< 2,/,/,6,1,1,1,cannot find -lGL
NDSS 2025,attack,evasion of guardrails,,,1,1.58,0.58,"ASR 0.833

ACC 0.674","ASR 0.815

ACC 0.667",8,8,10,8,
NDSS 2025,defense,prompt injection,,LlamaIndex，LangChain,0.91,/,1.33,/,/,6,8,1,3,No test dataset
USENIX Sec 24,attack,jailbreak,,"gpt-3.5-turbo, gpt4, PaLM2",10m,2h,0.5 hr,0.95 EMH 0.290 JSR (ALL Categories/ Hybrid Strategies),0.947 EMH 0.287 JSR (ALL Categories/ Hybrid Strategies),10,10,10,10,"The experimental part involves manually annotating LLM responses and cannot be reproduced. Using the official annotation results, we can get the results consistent with the official results provided in paper. In addition, PaLM2 may not be available anymore."
USENIX Sec 24,attack,adversarial prompt attacks,,Gpt,/,/,/,/,"Attack Success Rate: 83% (snippet size = 2) 

100% (snippet size=4)",6,3,1,1,"Time out, stuck more than 12 hrs"
USENIX Sec 24,defense,model extraction,,T5-base,0.5 hr,> 12,0.5 hr,"Watermark Extraction Rate (WER): 96.98 %

Bert score: 0.91

Blue4 score: 0.30","Watermark Extraction Rate (WER): 

84.3375748502994 %

Bert score:  0.8919776285479882

Blue4 score:  0.24469038892450923",6,8,8,10,"The official repository does not provide a pre-trained model, and training from scratch locally (for 300 epochs) takes over 100 hours. The performance results after 5 epochs of training are recorded in the table."
USENIX Sec 24,attack,memorization,MIA,OpenLLaMA,/,/,/,/,/,6,3,1,1,"1. The download_model.sh script contains hardcoded file paths that only work on the original author's machine 

2. the repository is missing the import_model.py file that the script depends on"
USENIX Sec 24,attack,jailbreak,,"gpt-3.5-turbo, Llama-2-7b-chat-hf,RoBERTa-large",2h,0.2 hr,1h,90%,1%,6,3,1,6,"1. Hugging Face gated model (LLaMA-2-7b-chat-hf) access denied due to missing token login. 

2. Encountered CUDA out of memory error when loading LLaMA-2-7B via vLLM. Resolved by explicitly setting gpu_memory_utilization=0.8 in example.ipynb when initializing LocalVLLM.(A100,80GB) 

3. fixed RoBERTaPredictor(device='cuda:1') error by changing to cuda:0."
USENIX Sec 24,attack,backdoor,,CodeGen,0.5h,,,,,6,3,1,6,"Fail at step1 LLM-assisted malicious payload crafting

python3 main_revised.py

FileNotFoundError: [Errno 2] No such file or directory: ‚Example_Transformation/CA/disabled-cert-validation.txt’"
USENIX Sec 24,attack,backdoor,,"meta-llama/Llama-2-7b-chat-hf

mistralai/Mistral-7B-Instruct-v0.2

mistralai/Mixtral-8x7B-Instruct-v0.1",0.5,1.33,0.33,"Word: AG News ASR = 98.90%

Syntax: AG News Acc = 86.40%，ASR = 91.60%

Semantic:DBpedia Acc = 92.50%，ASR = 100.00%","Word: AG News ASR = 96.98%

Syntax: AG News Acc = 86.45%，ASR = 90.00%

Semantic:DBpedia Acc = 90.77%，ASR = 100.00%",6,6,8,6,All three attacks achieve high ASR with low query cost while maintaining good clean accuracy.
USENIX Sec 24,attack,prompt injection,Both attack and defence,"Llama

Flan-UL2, PaLM-2",1,2,,,,6,3,1,3,"Project successfully started and running, but encountered CUDA device mismatch errors.

GPU device mismatch error"
USENIX Sec 24,attack,memorization,,"vision models, including ResNet-18, BiT-M, ViT-B",/,/,/,,,6,3,1,6,"provided a raw model, runtime more than 12 hrs"
